"gene","median","hazard_ratio","p_value","coefficient"
"PRKG1-AS1",3.88640900163428,1.66903536979536,0.000235102975795202,0.51224583666327
"LINC00347",0,1.05989242355857,0.753437405602623,0.058167415764905
"MAP3K2-DT",41.7213543123564,1.03796197185933,0.78465964696651,0.037259148098916
"LINC01010",32.461114720678,0.995474206220915,0.973390780802184,-0.00453606618934133
"MYB-AS1",0,0.854565464792736,0.412119180264294,-0.15716216754975
"DAPK1-IT1",0,0.855744308404162,0.346294269887926,-0.155783652596984
"SMAD9-IT1",0,1.20737372322452,0.173963492333692,0.188447524036298
"LINC01844",0,0.984080816389799,0.907833443043213,-0.0160472548249684
"OVAAL",1.06084577069107,1.0694001762672,0.622481313785721,0.067097908360611
"LINC01741",0,0.946955208122164,0.872910441009208,-0.0545034856241141
"LINC01282",0,1.0916336476763,0.56417320020452,0.0876753335582846
"LINC01186",8.20416031147708,1.41142730008627,0.0118178537618357,0.344601461955465
"MKLN1-AS",66.7547674844112,1.19783374665295,0.18524633797407,0.180514714314226
"DNAJC9-AS1",2.88973012647298,0.702767171520769,0.0100177392772809,-0.352729634743726
"MTUS2-AS2",0,1.13797307879769,0.41938764654356,0.129248678831779
"LINC02659",0,0.872503440792107,0.69047230885475,-0.136388681312062
"INTS6-AS1",56.004568921972,1.03831860316391,0.783183771749119,0.0376026771116855
"LINC01829",1.39921848225462,1.06326690508264,0.653114478377361,0.061346154468087
"LINC00299",5.30422885345535,0.725257266478088,0.0188482008808394,-0.32122883675734
"LINC02626",0.786098401410818,0.887628288612361,0.381650469505965,-0.119202217529851
"ELOA-AS1",43.0333706348645,1.30890750051137,0.0496047166322578,0.269192820192096
"LINC01563",1.08660744613349,0.964324619650822,0.789658982643151,-0.0363272986802094
"NMBR-AS1",0,1.27884241617362,0.410119995747006,0.245955306384804
"LINC00529",0,0.603995241200132,0.141057642349012,-0.504188959886089
"DMD-AS3",0,1.10017209269777e-07,0.993037515250602,-16.0226290354836
"CBR3-AS1",114.986403700512,0.829185901899723,0.168798147312674,-0.187310900615552
"LINC00421",0,1.27120013108689,0.237233035495092,0.23996143936095
"PCYT1B-AS1",0,0.646552497869179,0.257803840539305,-0.43610088086644
"LINC01474",0.749744293778087,1.14845416054746,0.311049204408947,0.138416829897262
"NIFK-AS1",124.524648932606,1.16558150249177,0.262657621252929,0.153220106256614
"ZKSCAN7-AS1",3.90709889796679,0.762886261122242,0.0475805160359277,-0.270646326801237
"LINC00106",17.7487432283693,0.709441630103486,0.0126184379006527,-0.343277054824131
"LINC01554",5.61716611899872,0.842138920542249,0.207592791669888,-0.171810289581444
"MIR600HG",121.700400501645,0.846577998627373,0.223077937397342,-0.16655293915248
"LINC01852",14.6353913075787,0.781504845888461,0.0739068286832874,-0.246533928386842
"CLCA4-AS1",1.16939152083457,0.794322047280107,0.0940853479165345,-0.230266298860448
"LINC01378",0,0.898644321691071,0.568135260957045,-0.106867960514265
"BAALC-AS2",2.6985972472141,1.24799989842857,0.104664556541428,0.221542188559872
"LINC01774",0,1.14705743186125,0.721739777189208,0.137199908263584
"ZDHHC20-IT1",1.80919775552654,0.986337489966341,0.919691582427426,-0.0137567010314677
"LINC01141",0.95398188945479,0.957806410375928,0.751187394057264,-0.0431095982834045
"ANKRD44-IT1",0.593173361107922,1.11487942615828,0.424936629715949,0.108746261090116
"EDRF1-AS1",3.05532443790595,0.564372381119367,4.27495085680828e-05,-0.572040995141712
"ATP2B2-IT1",0,1.04853205983446,0.935124115554085,0.0473911477492715
"WASF3-AS1",0,0.991024040264699,0.950169681000525,-0.00901648635435683
"GLIS3-AS1",0.852198067956773,0.785157240800188,0.0788522569391221,-0.241871274506615
"LINC01812",0,1.23444846073725,0.141595990072557,0.210624279832549
"ZEB1-AS1",112.264423823026,1.22154335199188,0.143206087381865,0.20011510186924
"NDUFA6-DT",52.1478775090852,0.811361301200993,0.124612238427897,-0.209041823208415
"TTTY12",0,1.32925385004006,0.492223243963186,0.284617769798384
"PRMT5-AS1",8.83923721557635,0.981505942975703,0.890985665120408,-0.0186672102908774
"LINC02087",0,0.831434271886655,0.32077686248621,-0.184603031114408
"EHMT2-AS1",0,0.841770909052743,0.22133921371525,-0.172247381269962
"LINC01065",0,1.31217122815013,0.591978599125382,0.271683191267076
"LINC01056",0,1.06186705057967,0.764251466653093,0.0600287272050169
"HAND2-AS1",4.81509062015366,1.06061805738843,0.665165123134845,0.058851811210906
"LINC02652",0,0.85334933028593,0.408210194158151,-0.158586283923527
"HUNK-AS1",0,1.09520344486839,0.686818372252586,0.0909401404111801
"ZNF503-AS2",244.044557012452,0.821099458036526,0.148207993911308,-0.197111034313251
"CNTFR-AS1",0,0.852569634381897,0.31720714065141,-0.159500390600894
"LINC01792",2.7337369396067,1.06161481411841,0.661936890615424,0.0597911584584733
"LINC01797",0,0.7362436015509,0.132071139269502,-0.306194234647109
"NR2F1-AS1",112.072937879391,1.06932569944472,0.622288799028466,0.0670282623874052
"ZBTB40-IT1",1.49201233992352,0.793303256614173,0.0895502233858546,-0.231549713534273
"PPEF1-AS1",0,0.995421958323285,0.991917363004019,-0.00458855300263985
"LINC01968",1.62792905267882,0.966970248151691,0.805427241939356,-0.033587551166907
"ZNF295-AS1",5.2093453369687,1.03507387889411,0.800420924482751,0.0344728047438781
"TMEM26-AS1",1.26477063360509,0.99234887336031,0.954995934985376,-0.00768054666943991
"LINC00987",32.6154284232908,0.777320624728838,0.0653209310220246,-0.251902369290133
"LINC01810",0,4.13685656623094,0.0460496509390771,1.4199362159164
"LINC01519",0,0.910331111663288,0.794896352620801,-0.093946886681217
"CATIP-AS2",0,1.13962513451764,0.336767451988628,0.130699378959682
"LINC00851",0,0.949146360178398,0.735515580330696,-0.0521922665752561
"LINC01343",12.6822497388014,0.870994439649404,0.315262890929233,-0.138119686019811
"LINC01732",0,0.929282836177364,0.591907880214248,-0.0733421342145415
"TTN-AS1",157.400371884555,1.09710147124756,0.49669453035072,0.0926716758736444
"RAI1-AS1",0,1.08137374845755,0.565509344551273,0.0782322221556269
"XIAP-AS1",0,0.939037439351911,0.657240707659688,-0.0628999290544395
"FTCD-AS1",0,1.15064591893796,0.45395093500329,0.140323453340072
"LINC01502",0,0.610150552315572,0.000506956544811392,-0.494049545191927
"SYP-AS1",0,0.702782531265498,0.0610404854564204,-0.352707778889466
"TUSC8",0,0.987149124081051,0.927300201227185,-0.0129341627333165
"BRWD1-IT1",0,0.904392872410772,0.510980752284492,-0.100491419623561
"HOXD-AS2",30.8846872956848,0.823205881618057,0.153719110877497,-0.194548949665108
"LNCNEF",0,0.748771083791796,0.485135707655911,-0.289321971295442
"PITRM1-AS1",24.5337405469401,0.891515077211413,0.398725914066727,-0.11483292963865
"LINC01304",0,0.879618176305853,0.461531721233952,-0.128267356229162
"CAMTA1-IT1",0,0.94801905505218,0.730395123821374,-0.0533806766631102
"LINC01522",1.11166832813919,1.11769715076655,0.415721466440958,0.11127045321279
"FOXD2-AS1",145.985439555581,1.45880512886944,0.00601248024385146,0.377617695760191
"CAMTA1-DT",7.20254734081041,0.888520711961985,0.386677068708684,-0.118197320503268
"LINC01661",0,1.34580530613472,0.268748920665816,0.29699257450076
"LRRC52-AS1",0,0.919914240334656,0.580774095267468,-0.0834748303115762
"LINC01637",21.2767281705513,1.21771777112325,0.149505174485112,0.196978427432097
"LINC01684",3.83752281595604,0.922206448344641,0.551499069531665,-0.0809861668845515
"PKN2-AS1",2.30259824989326,1.02152684694927,0.875495318582953,0.0212984168188362
"UNC5B-AS1",48.424288213788,0.942682664481014,0.664281315403347,-0.0590255699704869
"LINC00857",38.6761563929329,1.20585877892459,0.16983255568525,0.187191992712576
"LINC02567",0,1.04442287021675,0.88858316616786,0.0434644555509441
"KCND3-AS1",0,0.676629749819624,0.0293757153943286,-0.390631054019508
"LINC01497",0,1.26952516846981,0.0986498131358354,0.238642947464155
"LINC01856",0,0.746771703737835,0.111866700019455,-0.291995758046026
"LINC01888",0,0.964743444192389,0.804284459279654,-0.0358930739309658
"LINC01514",0,0.701792459269416,0.0128803822377073,-0.354117560733416
"LINC01275",4.19765544676386,1.16565842957585,0.26131234850672,0.153286102967673
"FAM138A",0,0.784959316142168,0.314180347910321,-0.242123389113258
"FRY-AS1",0,0.999418957614696,0.996631424271282,-0.000581211255847725
"LINC02245",0.821149187659627,0.82717729634357,0.164128974171455,-0.189736221997801
"HLCS-IT1",0,1.13309614743918,0.363543932420223,0.124953839380229
"LINC00316",0,0.944837821570275,0.702738165638373,-0.0567419836022955
"GRM7-AS2",0,1.1139883907676,0.625776295673596,0.107946720236791
"LINC01115",0,1.31748802366026,0.0453190145620457,0.275726911191122
"LINC01866",0,0.702598571047047,0.1765673461721,-0.352969572959699
"TEX36-AS1",0,0.630678234173473,0.202099738336979,-0.460959476493935
"LINC00686",0,1.21761866539966,0.525453365518561,0.196897037672421
"P4HA2-AS1",0.90780285004081,1.10578940079537,0.461338676184205,0.100559469774805
"DCTN1-AS1",2.58792533066089,1.129735814163,0.369704618187318,0.121983812614354
"RNF216-IT1",0,1.01222025192081,0.93029378719126,0.0121461874230313
"LINC01143",0,1.08229031557124,0.576890625169576,0.0790794582712094
"LINC01370",0,1.01596547772248,0.934185071368426,0.015839369959397
"LINC02631",0.949967925164889,0.864989763599664,0.287090070273813,-0.145037606109108
"DDR1-DT",1.1320788778501,1.00541615881611,0.968357236931788,0.00540154417434885
"GFOD1-AS1",1.4066900746037,1.03355438863992,0.809368030551534,0.0330037244346553
"LINC01318",0,1.40497034297708,0.253322288343275,0.340016194361565
"MACORIS",1.86263313941503,0.797987472123644,0.098638890636233,-0.225662380748739
"FAM197Y6",0,2.34697749752602,0.0184424063511403,0.853128329062386
"PHKA2-AS1",3.60098460851537,1.02118889693287,0.877676572984365,0.0209675337574092
"NFIA-AS1",0,0.908753615073878,0.52101786415384,-0.0956812720692774
"LINC00322",1.48300619469379,0.914680477405976,0.511987227413129,-0.0891804797136782
"LINC01473",8.41467717379164,1.03365616126268,0.808148433713398,0.033102188157036
"LINC00398",1.03177731310628,0.938724685926372,0.641831071691297,-0.0632330419916113
"LINC01885",0,0.868040786717542,0.377962325244676,-0.141516576119825
"DGUOK-AS1",135.114937324543,1.06251001476452,0.656880505166334,0.0606340474327359
"NALT1",10.4187893444173,0.872030796157383,0.315148033159838,-0.136930539002531
"KLF7-IT1",6.32823942271814,1.31388880227786,0.0460721340581574,0.27299129112218
"SIRPG-AS1",1.19017633293974,0.68215349953457,0.00537642851652385,-0.382500573832386
"LINC02570",5.58757320455686,1.02946798800817,0.831740592798091,0.029042152304022
"NFIA-AS2",3.0097603048421,0.938708861861955,0.641972186799207,-0.063249899114929
"KCNQ1DN",0,0.93300089713987,0.636029883397573,-0.0693491165705504
"PRKCQ-AS1",182.810203329502,1.01864811210228,0.892477169573111,0.0184763679109942
"LINC00649",571.477276236407,0.954895886120341,0.734124800338421,-0.0461529642137698
"LINC00844",0,0.944409255727024,0.724747046189729,-0.0571956731760431
"KCNMB2-AS1",124.528676563511,0.856440412017488,0.255952520967054,-0.154970535129721
"CELF2-AS2",0,0.7393695427723,0.466167851449175,-0.30195742514259
"LINC01679",226.83740435797,0.91411616867201,0.510156100182672,-0.0897976164008941
"CNTN4-AS1",0,0.779248123470066,0.22831336219154,-0.249425768460701
"LINC01808",0,1.00011547408381,0.999532651443993,0.000115467417190981
"HTR3E-AS1",0,0.591161289855472,0.0222820586527348,-0.52566638873228
"ZEB2-AS1",2.61440908429636,0.820269784077201,0.150898999459773,-0.19812198786191
"SPATA3-AS1",1.78517592422543,0.797205708415668,0.09905505411386,-0.226642530087514
"LINC01685",0,0.435591003844036,0.0111041520634074,-0.831051540468927
"LINC01352",1.68963890665672,0.734933353110139,0.0240826691532024,-0.307975459921248
"LINC02037",0,0.957010930472193,0.758713485777203,-0.0439404659933716
"LINC01625",0.640832336136875,0.809881456964111,0.122776298874474,-0.210867391452799
"LINC01410",90.1582241402856,1.1839967868702,0.21576417302719,0.168895822666069
"LINC01589",11.2804995345654,1.1385021038314,0.34317413104709,0.129713454417534
"LINC00426",27.6441567042645,0.626273162240971,0.000711284271036968,-0.467968641652688
"MID1IP1-AS1",14.1467676023739,0.929172917061576,0.588890427288971,-0.0734604250220847
"MAP3K20-AS1",22.7003374325515,1.12090919234784,0.404008690168511,0.114140134874737
"BRWD1-AS1",0.620877713138343,0.882233838014451,0.358262701817842,-0.125298135648732
"TNFRSF14-AS1",52.0759358290533,0.648600098327995,0.00171862118228264,-0.432938933508569
"LINC01053",0,0.787114754314375,0.1836145914099,-0.239381228850769
"CD81-AS1",3.42778986889773,0.823518182773459,0.155073685546619,-0.194169649737574
"ENOX1-AS2",0,0.868690111043501,0.734153686557321,-0.140768821407738
"PAXBP1-AS1",33.0055513628577,0.6071277070153,0.000315960175689121,-0.499016119581593
"LINC02096",0,1.03181830953556,0.853585505284813,0.03132259490799
"LINC01877",0,1.00536122064214,0.970114192468706,0.00534690045839144
"LINC00391",0,0.817957616736644,0.189481318755306,-0.200944757002131
"ST6GAL2-IT1",0,1.00832996514324,0.953638987589857,0.00829546245530155
"NTM-IT",0,0.876357923003512,0.63399120153816,-0.131980683591501
"LINC00317",0,1.1873105602597,0.705031503385707,0.171690715998323
"LINC00707",129.423184024311,1.14175247862512,0.329545679194315,0.132564343980653
"LINC01448",0,1.09907419080734,0.555391532822915,0.0944681807019475
"LINC02006",10.6646549221673,0.890667647525559,0.395235227674792,-0.11578393173059
"LINC02031",18.2572784808948,0.874435081639704,0.324581166314791,-0.134177222110693
"LINC02023",0,0.86767970173527,0.498179562898188,-0.141932639639134
"NCK1-DT",169.509109158288,0.985716511762934,0.916085920606948,-0.0143864791444268
"TTTY23",0,0.53386475017796,0.532148283049614,-0.627612748922232
"CLRN1-AS1",0,1.18303004518251,0.232973287721278,0.168078982123033
"MORC1-AS1",0,0.679792094238104,0.234800988050421,-0.385968271328633
"ATP6V1B1-AS1",1.32022205451431,1.27108243741066,0.0789128438345154,0.239868850379874
"LINC01119",12.5539462825504,1.36994522384732,0.0213616593494449,0.314770756447511
"LLPH-DT",9.84683077355999,0.835278494171688,0.187468107381788,-0.179990083784582
"LINC02008",0,0.873778833050017,0.358343113955647,-0.134927986779704
"ST3GAL6-AS1",11.7966765496285,1.24342127577641,0.110116548975905,0.21786667367374
"SIDT1-AS1",0,0.847124917333967,0.262407947482013,-0.165907113110085
"LINC02047",0,0.79082334525991,0.44881582272863,-0.234680667054253
"PLCH1-AS1",0,0.970602617353207,0.862486568072842,-0.0298381453804035
"LINC01210",0,0.820350980433056,0.352520448293059,-0.198023005382012
"CADM2-AS1",0,0.764570643185949,0.264555316197002,-0.268440853453075
"MYLK-AS1",25.0023410055959,1.07388765004844,0.601293016554013,0.0712853817213368
"HOXB-AS2",1.16400585440558,0.866756549087815,0.293218742063582,-0.142997138532294
